lesson title,box title,suggested treatment
Transformer,Before Transformers,Absorb into ‘How AI Reads a Sentence’ and delete as a separate board — the one-word-at-a-time setup is repeated immediately in the stronger before/after comparison.
Transformer,How AI Reads a Sentence,Editorial Explainer: Two-Card Full-Bleed — One Word at a Time versus Every Word at Once is the section’s clearest direct comparison. Build new internal graphics in their locked accents; keep ‘The Transformer reads the whole message at once’ as the gold-band takeaway.
Transformer,"Attention, Then Transformation",Editorial Explainer: Two-Card Full-Bleed — Attention identifies which words matter; Transformation updates the vector’s meaning. Keep the left-to-right arrow between the two cards so the relationship reads as an ordered pair.
Transformer,How the Two Problems Get Solved,"Editorial Explainer: Two-Card Full-Bleed — reuse the same Different Meanings and Pronouns card family, now showing the Attention and Transformation result under each example. Treat it as a resolved second state, not a new visual language."
Transformer,One Catch: Word Order,Editorial Explainer: Two-Card Full-Bleed — Reading in Order and Reading Everything at Once form a direct contrast. Make positional encoding the gold-band resolution so the board does not end on the problem.
Transformer,Be the Attention,Keep as a page-native TRY IT; exclude from the board retrofit.
Layers,The Horse Raced Past the Barn Fell,Editorial Explainer: Flow — First Pass → More Passes → Meaning Clicks is a three-step interpretation sequence. Keep the sentence evidence visible and use the gold band for ‘Each pass updates the meaning until it clicks.’
Layers,What Happens Inside Every Layer,"Editorial Explainer: Flow — show Vector In, repeated Attention → Transformation stages, then Richer Vector Out on one shared white stage. The repetition is the teaching relationship, so do not break it into independent cards."
Layers,How Layers Resolve IT,Editorial Explainer: Flow — Starting Vector → Repeated Layers → Final Vector Closest to CAT. Keep the vector values as evidence and make the directional change unmissable.
Layers,Why Are There Dozens of Layers?,"Editorial Explainer: Three-Card Full-Bleed — A Few Passes, Dozens of Passes, and Why Not Hundreds? are three distinct answers with equal weight. Use new 16:9 internal graphics and keep ‘More depth leaves room for deeper meaning’ in the gold band."
Layers,What the Transformer Does,Keep as a page-native TRY IT; exclude from the board retrofit.
Vector Space,No Exact Match? Find the Closest Point.,"Editorial Shell: Worked Example — preserve the real map, known coordinates, and two nearest-city answers as exact evidence. Normalize the shell and keep the coordinate-to-result reading path left to right."
Vector Space,Coke Sits Closer to Pepsi Than to Coffee,Editorial Shell: Worked Example — reuse the Embeddings taste-profile geometry so distance is visible from the same values. Do not redraw the data as decorative illustration cards.
Vector Space,Meaning Neighborhoods,"Editorial Shell: Data/Map Utility — preserve the four neighborhoods, shared seven-dimension grid, and mystery vector. Increase essential type to the Editorial Shell floor and keep the neighborhood layout stable."
Vector Space,Meaning Is a Position,"Full-Length Teaching Illustration — keep; the path from an ambiguous vector through meaning neighborhoods to CAT teaches the core idea. Rebuild with deterministic labels, no generic decorative person, and either no people or Nate/Luke actively tracing the path."
Vector Space,How High Can You Score?,Keep as a page-native game; exclude from the board retrofit.
How AI Answers,See You…,Editorial Shell: Worked Example — preserve the phone-prediction strip as a compact analogy. Normalize the shell only; it does not need full-bleed cards.
How AI Answers,What Should I Name My New Dog?,Editorial Explainer: Flow — Tokens → Positions → Starting Meaning → Through Layers is a real four-step preparation sequence. Reword only enough to fit the Flow grid while preserving the sample token IDs and vector evidence.
How AI Answers,The Last Token Carries the Whole Question,Editorial Explainer: Flow — Question → Last-Token Vector → Ranked Reply Starters. Use three clearly defined steps and keep ‘The next word goes after the last token’ as the gold-band takeaway.
How AI Answers,"The Answer, Token by Token","Editorial Shell: Worked Example — preserve the cumulative five-row table; the growing Reply So Far column is the lesson. Normalize the title, sheet, type, row spacing, and final-answer treatment."
How AI Answers,Score Every Token: The Name Slot,"Editorial Shell: Worked Example — keep the ranked bars, percentages, and grouped Other Tokens row as exact evidence. Use the same title and table geometry as the token-by-token board family."
How AI Answers,One Token at a Time,Full-Length Teaching Illustration — keep; the ranked name drum feeding a token conveyor makes inference memorable. Place it inside the standard shell and update Nate and Luke to the approved realistic likeness.
How AI Answers,Name the Piece,Keep as a page-native TRY IT; exclude from the board retrofit.
One More Thing,"Same List, Five Draws","Editorial Shell: Worked Example — preserve the ticket counts, ranked probabilities, and five outcomes. Normalize the shell and type; the exact numbers are the explanation."
One More Thing,Two Sides of the Same Chat,Editorial Explainer: Two-Card Full-Bleed — You Carry the Chat in Your Head versus AI Carries Nothing is a direct conceptual contrast. Use purpose-built internal graphics and retain the transcript-as-memory conclusion in the gold band.
One More Thing,The Math,"Editorial Shell: Worked Example — preserve the One Word, One Sentence, and Complete Chat calculations as three stacked rows. Normalize title, labels, type, and the 2-quadrillion conclusion without turning the arithmetic into cards."
One More Thing,Every Time You Hit Send,"Full-Length Teaching Illustration — keep; the connected randomness drum, transcript, and math-at-scale machinery synthesizes the lesson’s three facts. Rebuild text deterministically and update Nate and Luke to the approved realistic likeness."
One More Thing,How Big Is the Math?,Keep as a page-native TRY IT; exclude from the board retrofit.
