lesson title,box title,suggested treatment
Which App?,Pick a Home Base. Learn It Deeply.,"Full-Length Teaching Illustration — keep; the three equally weighted workstations communicate that the learner needs a home base, not a permanent winner. Use the standard shell, deterministic title, and approved Nate and Luke likeness."
Which App?,"The Big Three, Side by Side","Editorial Explainer: Three-Card Full-Bleed — ChatGPT, Claude, and Gemini are three parallel choices. Give each a purpose-built 16:9 graphic and preserve the philosophy question that distinguishes the company behind each app."
Which App?,How We Used the Big Three,"Editorial Explainer: Three-Card Full-Bleed — show ChatGPT, Claude, and Gemini as three parallel real-course examples, with the specific jobs retained as evidence rather than generic app descriptions."
Which App?,It’s in the Name,Keep as a page-native TRY IT; exclude from the board retrofit.
Questions Matter,How Answers Got Easier and Faster,"Editorial Explainer: Flow — use Library → Search → AI as a three-stage timeline. Preserve the task steps and time-to-answer evidence, with speed increasing clearly from left to right."
Questions Matter,It Changes Where Value Lives,Editorial Explainer: Two-Card Full-Bleed — Pre-AI: Finding the Answer versus With AI: Asking the Right Question is a direct before-and-after comparison. Keep the value shift in the gold band.
Questions Matter,Answers Got Cheap. Questions Didn’t.,Delete from the live lesson — the full-length illustration repeats both the timeline and value-shift boards without adding a new teaching relationship. Let the two stronger boards carry the transition into question quality.
Questions Matter,Four Qualities of a Good Question,"Editorial Explainer: Four-Card Full-Bleed — Open-Minded, Specific, On Target, and Open-Ended are four parallel qualities. Retain one concise Weak versus Better question pair in each card and create purpose-built 16:9 graphics."
Questions Matter,Match the Quality,Keep as a page-native TRY IT; exclude from the board retrofit.
Art of Prompting,Four Qualities of a Good Question,"Reuse the approved Editorial Explainer: Four-Card Full-Bleed board from Questions Matter — this is an intentional refresher one lesson later, so do not create a second visual system or a shortened duplicate asset."
Art of Prompting,Three Moves for Better Prompts,"REVIEW AS THREE INDIVIDUAL EDITORIAL SHELL: WORKED EXAMPLE BOARDS — Share Your Situation, Describe the Answer You Want, and One Job at a Time each need their explanation, practical checklist, and full Weak versus Better prompt pair. Use one coordinated shell system instead of compressing the evidence into three cards."
Art of Prompting,"Good Prompt, Bad Prompt",Keep as a page-native LAB; exclude from the board retrofit.
Context Window,Same Question. Different Answers.,"Editorial Shell: Structured Comparison — preserve the shared car question and the two personalized responses. Use the Your First Assignment comparison structure with realistic Nate and Luke mini-illustrations, clear response separation, and a single standard title bar."
Context Window,The Context Window,Full-Length Teaching Illustration — keep as a system diagram; five distinct sources converging on one visible window is the lesson’s central relationship. Use the standard shell and build all essential labels deterministically rather than into generated art.
Context Window,Outside the Window,"Editorial Explainer: Four-Card Full-Bleed — Older Chats, Unsent Web Pages, Files on Your Computer, and Other Apps and Tabs are four parallel exclusions. Use purpose-built 16:9 graphics and land on ‘If it isn’t in the window, the model can’t see it.’"
Context Window,Same Prompt. Different Context. Different Suggestion.,"Full-Length Teaching Illustration — keep; the two people, two vehicles, and final choice synthesize personalization without turning the recommendation into a fact. Apply the standard shell, keep the title out of the scene, and use the approved realistic likeness."
Context Window,Set Up Your Context,Keep as a page-native LAB; exclude from the board retrofit.
Evaluate the Results,Run the Quick Pass,Editorial Explainer: Flow — Read → Understand → Validate is a true three-step process. Keep ‘Read it. Understand it. Validate what you can.’ in the gold band.
Evaluate the Results,Decide Whether to Dig,"Editorial Explainer: Three-Card Full-Bleed — Could You Validate It?, What Kind of Task Was This?, and How Much Is Riding on It? are three parallel decision checks with equal weight."
Evaluate the Results,Dig Deeper When It Matters,"Editorial Shell: Checklist — preserve all five tactics on one white teaching sheet with strong numbered rows and minimum board type. The tactics are parallel choices, not a five-step process, so do not use Flow."
Evaluate the Results,Make Your Move,"Editorial Explainer: Three-Card Full-Bleed — Use It, Fix It, and Walk Away are three distinct outcomes. Use equal cards and keep ‘Use it, fix it, or choose a better path’ in the gold band."
Evaluate the Results,Check Before You Use,"Full-Length Teaching Illustration — keep; checking one highlighted claim against two outside sources shows evaluation as an action. Place it in the standard shell, keep the title deterministic, and use the approved Nate and Luke likeness."
Evaluate the Results,"Are These AI Responses Good to Go, or Do You Need to Dig Deeper?",Keep as a page-native TRY IT; exclude from the board retrofit.
Critical Thinking,The Course Equation,Editorial Shell: Worked Example — preserve Learn More → More Knowledge → Better Questions → Better Results as one exact equation. Use a single white teaching surface and keep ‘Be Smarter Than the Tool’ as the conclusion.
Critical Thinking,One More Equation,Editorial Explainer: Two-Card Full-Bleed — Critical and Thinking are two equal definitions that combine into A+. Keep ‘AI gives answers. You own the thinking.’ in the gold band.
Critical Thinking,Slim by Chocolate!,Editorial Explainer: Two-Card Full-Bleed — Face Value versus Critical Thinking is a direct two-reaction comparison. Keep the headline as shared evidence and use the gold band for the pause-before-believing takeaway.
Critical Thinking,Five Questions for Critical Thinking,"Editorial Shell: Checklist — preserve all five questions and their explanations as numbered rows on one white teaching sheet. This is a reusable reference, not a process, so do not use Flow or shrink it into five small cards."
Critical Thinking,What’s the Problem With These Claims?,Keep as a page-native TRY IT; exclude from the board retrofit.
