73.30	73.74	 physical
73.74	74.14	 impact
74.14	74.34	 on
74.34	74.48	 the
74.48	74.88	 communities
74.88	75.12	 that
75.12	75.34	 host
75.34	75.58	 them.
76.26	76.48	 What
76.48	76.70	 a
76.70	76.84	 data
76.84	77.06	 center
77.06	77.32	 means
77.32	77.54	 for
77.54	77.92	 neighbors
77.92	78.44	 comes
78.44	78.64	 down
78.64	78.90	 to
78.90	79.08	 four
79.08	79.46	 facts.
80.08	80.68	 Electricity,
81.18	81.60	 projected
81.60	81.80	 to
81.80	81.96	 reach
81.96	82.32	 12
82.32	82.62	%
82.62	82.84	 of
82.84	83.16	 national
83.16	83.50	 usage
83.50	83.76	 by
83.76	84.06	 2028.
84.78	85.42	 Water,
85.92	86.06	 a
86.06	86.40	 facility
86.40	86.62	 can
86.62	87.08	 evaporate
87.08	87.32	 a
87.32	87.60	 million
87.60	88.00	 gallons
88.00	88.18	 on
88.18	88.30	 a
88.30	88.44	 hot
88.44	88.76	 day.
89.56	89.78	 Noise,
90.46	90.66	 cooling
90.66	91.04	 fans
91.04	91.26	 run
91.26	91.70	 24
91.70	92.08	-7.
92.86	93.16	 Finally,
93.36	93.70	 jobs.
94.30	94.56	 Finished
94.56	95.02	 facilities
95.02	95.52	 employ
95.52	95.90	 only
95.90	96.14	 about
96.14	96.72	 200
96.72	97.12	 permanent
97.12	97.52	 workers.
98.46	98.56	 A
98.56	98.74	 data
98.74	98.98	 center
98.98	99.18	 is
99.18	99.46	 an
99.46	99.82	 active,
100.20	100.40	 heavy
100.40	100.66	 user
100.66	100.88	 of
100.88	101.26	 resources
101.26	101.58	 that
101.58	101.90	 pulls
101.90	102.44	 directly
102.44	102.68	 from
102.68	102.86	 the
102.86	103.24	 exact
103.24	103.52	 same
103.52	103.88	 utility
103.88	104.20	 grids
104.20	104.46	 as
104.46	104.60	 the
104.60	104.86	 surrounding
104.86	105.24	 homes.
106.08	106.34	 Companies
106.34	106.54	 are
106.54	106.92	 responding
106.92	107.12	 to
107.12	107.52	 massive
107.52	107.88	 demand
107.88	108.14	 in
108.14	108.34	 three
108.34	108.66	 ways.
109.18	109.52	 First,
109.80	110.14	 arranging
110.14	110.68	 additional
110.68	111.16	 electricity
111.16	111.64	 supplies.
111.64	112.44	 Second,
113.10	113.32	 improving
113.32	113.70	 cooling
113.70	114.10	 designs
114.10	114.30	 that
114.30	114.64	 reuse
114.64	115.10	 water.
115.74	115.92	 Third,
116.26	116.50	 building
116.50	116.92	 efficient
116.92	117.28	 chips
117.28	117.48	 that
117.48	117.62	 do
117.62	117.96	 more
117.96	118.22	 work
118.22	118.52	 per
118.52	118.82	 unit
118.82	119.02	 of
119.02	119.46	 electricity.
120.20	120.64	 Ultimately,
121.14	121.26	 more
121.26	121.60	 power
121.60	121.84	 meets
121.84	122.30	 demand,
122.38	122.72	 while
122.72	122.96	 better
122.96	123.52	 efficiency
123.52	124.08	 reduces
124.08	124.36	 the
124.36	124.72	 resources
124.72	125.04	 needed
125.04	125.32	 per
125.32	125.70	 task.
126.34	126.46	 But
126.46	126.88	 more
126.88	127.34	 efficient
127.34	127.88	 tasks
127.88	128.10	 do
128.10	128.46	 not
128.46	129.28	 automatically
129.28	129.58	 mean
129.58	129.82	 a
129.82	130.18	 smaller
130.18	130.52	 total
130.52	130.94	 footprint.
131.58	131.78	 If
131.78	132.18	 global
132.18	132.60	 use
132.60	132.88	 grows
132.88	133.44	 faster
133.44	133.70	 than
133.70	133.86	 the
133.86	134.26	 efficiency
134.26	134.80	 improvements,
135.32	135.56	 total
135.56	135.88	 demand
135.88	136.20	 can
136.20	136.44	 still
136.44	136.86	 rise.
137.84	138.18	 One
138.18	138.64	 request
138.64	139.00	 is
139.00	139.26	 a
139.26	139.56	 small
139.56	139.82	 part
139.82	139.94	 of
139.94	140.04	 the
140.04	140.34	 picture.
140.34	141.16	 Running
141.16	141.44	 these
141.44	141.84	 services
141.84	142.12	 for
142.12	142.64	 millions
142.64	142.92	 of
142.92	143.20	 people
143.20	143.90	 simultaneously
143.90	144.28	 is
144.28	144.44	 what
144.44	144.68	 makes
144.68	144.84	 the
144.84	145.32	 infrastructure
145.32	145.68	 so
145.68	146.06	 large.
146.80	147.06	 Every
147.06	147.30	 big
147.30	147.78	 technology
147.78	148.04	 has
148.04	148.20	 a
148.20	148.50	 footprint,
148.94	149.08	 from
149.08	149.46	 streaming
149.46	149.86	 video
149.86	150.22	 to
150.22	150.44	 the
150.44	150.70	 cars
150.70	151.02	 parked
151.02	151.48	 outside.
152.20	152.48	 AI's
152.48	152.74	 footprint
152.74	153.04	 is
153.04	153.24	 real,
153.68	153.92	 it's
153.92	154.16	 growing,
154.56	154.80	 and
154.80	155.26	 somebody
155.26	155.54	 pays
155.54	155.84	 it.
156.26	156.42	 The
156.42	156.74	 company
156.74	156.96	 in
156.96	157.34	 dollars,
157.76	157.92	 the
157.92	158.18	 local
158.18	158.50	 grid
158.50	158.74	 in
158.74	159.08	 watts,
159.42	159.68	 and
159.68	159.86	 the
159.86	160.18	 neighborhood
160.18	160.54	 in
160.54	160.88	 water
160.88	161.18	 and
161.18	161.52	 quiet.
162.22	162.48	 None
162.48	162.64	 of
162.64	162.82	 this
162.82	163.04	 is
163.04	163.20	 a
163.20	163.40	 reason
163.40	163.54	 to
163.54	163.70	 feel
163.70	164.18	 guilty
164.18	164.50	 hitting
164.50	164.84	 send.
164.84	165.60	 The
165.60	165.88	 goal
165.88	166.08	 is
166.08	166.32	 simply
166.32	166.46	 to
166.46	166.64	 be
166.64	166.86	 one
166.86	167.00	 of
167.00	167.12	 the
167.12	167.34	 few
167.34	167.68	 people
167.68	167.88	 who
167.88	168.54	 accurately
168.54	169.14	 understands
169.14	169.38	 the
169.38	169.84	 massive
169.84	170.36	 physical
170.36	170.80	 machine
170.80	170.98	 they
170.98	171.10	 are
171.10	171.40	 engaging
171.40	171.78	 with.
172.48	172.80	 Every
172.80	173.16	 AI
173.16	173.40	 chat
173.40	173.74	 costs
173.74	174.04	 something
174.04	174.34	 real.
174.80	175.02	 You
175.02	175.30	 now
175.30	175.84	 understand
175.84	176.08	 the
176.08	176.40	 physical
176.40	176.76	 system
176.76	176.98	 that
176.98	177.24	 drives
177.24	177.38	 the
177.38	177.72	 results.
