id,section,lesson_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation
"fb11","Work With AI","questionsvaluable","A question can be packed with detail and still miss. What separates Specific from On Target?","Specific is about how much your question says. On target is about asking the right thing","Specific is about length. On target is about tone","Specific applies to AI. On target applies to people","They’re two names for the same quality","Specific is about how much your question says. On target is about asking the right thing","A question can be perfectly precise and still pointed at the wrong thing. Asking which energy drink keeps you awake in class is specific, and the problem worth solving is why you’re wiped out at 10am."
"fb12","Work With AI","prompting","When a person doesn’t understand your question, they ask a follow-up. What does AI do instead?","It asks you to rephrase before it answers","It confidently answers whatever you gave it","It refuses until you add more detail","It searches the web to fill in what you left out","It confidently answers whatever you gave it","AI starts from the words you typed and fills in every blank you leave. That’s why a prompt is a briefing: share your situation, describe the answer you want, one job at a time."
"fb13","Work With AI","prompt","You mention a file sitting on your laptop. Why can’t the model see it?","The model reads only text, never files","The model can see it, but only inside a project","Nothing on your device is in the context window unless it gets copied in","The model is browsing the web instead of your computer","Nothing on your device is in the context window unless it gets copied in","The context window is everything the model can see when it answers. Uploading works by copying the file’s text into the window, and if it isn’t in the window, the model can’t see it."
"fb14","Work With AI","evaluating","What’s the quick pass you run on every AI answer?","Search, cite, share","Read, understand, validate","Ask, copy, submit","Prompt, retry, compare","Read, understand, validate","Three steps, a few seconds, every time. Reading every word is the floor, and validating means holding the answer up against your own knowledge."
"fb15","Work With AI","critical","The chocolate weight-loss study made front pages in 2015. What was actually wrong with it?","The researchers were paid by a candy company","The results were never published anywhere","It used the wrong kind of chocolate","Only 15 participants, and it measured 18 different things about them","Only 15 participants, and it measured 18 different things about them","Track that many things in a group that small and luck alone guarantees something looks like a finding. A journalist built it to prove that a bad study with a great headline travels before anyone checks."
"fb16","Understand AI","training","Training runs in three phases. What happens in the third one, preference tuning?","The model grinds through the data and learns broad patterns on its own","Humans write ideal question-and-answer pairs for it to copy","The model writes several answers and human reviewers rank them, best to worst","Engineers hand-write rules for what the model may say","The model writes several answers and human reviewers rank them, best to worst","That’s RLHF, Reinforcement Learning from Human Feedback. Pretraining came first, then instruction tuning, and after this phase the weights freeze."
"fb17","Understand AI","aiismath","You flip two coins, peek, and see the first one is heads. The chance both are heads moves from 25% to 50%. What is that update called?","Standard probability","Conditional probability","Positional encoding","Preference tuning","Conditional probability","Evidence arrived and the odds moved. AI runs that same update on every word: given everything written so far, which word most likely comes next?"
"fb18","Understand AI","tokens","Before your words reach the model, what does the tokenizer do?","Runs a small AI that guesses what you meant","Looks up each word’s meaning in a dictionary","Breaks your text into reusable chunks and gives each one an ID number","Translates your text into English","Breaks your text into reusable chunks and gives each one an ID number","Computers work only with numbers, and no AI is involved in this step. A token might be a whole word, part of a word, punctuation, an emoji, or even the space before a word."
"fb19","Understand AI","embeddings","Coke and coffee get very different embedding vectors. What stays the same between them?","The dimensions, because every token is scored on the same ones","The values, since both are drinks","The token ID","Nothing. Each token gets its own set of dimensions","The dimensions, because every token is scored on the same ones","What changes from token to token is the values, never the dimensions. That’s what makes any two rows comparable at all."
"fb20","Understand AI","attention","“The cat drank the milk because IT was thirsty.” What settles what IT means?","The model reads in order, so IT points to the nearest noun","Attention weighs every word and leans hardest on cat, then transformation updates IT’s vector","The tokenizer tags IT as a pronoun","The position stamp says which noun came first","Attention weighs every word and leans hardest on cat, then transformation updates IT’s vector","Two moves, in that order: work out which words matter, then update the meaning. Change thirsty to fresh and the same machinery lands IT on milk instead."
"fb21","Understand AI","layers","What is a layer?","Another copy of the model running alongside the first","A memory bank holding the earlier parts of your chat","A safety filter that checks the answer before it ships","One more pass over your message, running attention and transformation again","One more pass over your message, running attention and transformation again","The model reads your message over and over, and each pass pins the meaning down a little more. Stack dozens of them and the whole stack is the neural network."
"fb22","Understand AI","vectorspace","After the layers finish, a token’s vector lines up with nothing in the embedding table. What does the model do?","Rounds the numbers until they match a real token","Reads the position and finds the closest meanings on the map","Throws the vector out and reads the sentence again","Reports an error back to the app","Reads the position and finds the closest meanings on the map","Landing near a token isn’t a near miss, it’s how the meaning gets read. Similar meanings sit close together, so distance is the measure."
"fb23","Understand AI","prediction","“What should I name my new dog?” is eight tokens. Why does the model care most about the last one?","It’s the question mark, which flags the sentence as a question","It’s the shortest token, so it’s the cheapest to check","The model reads backward, so the last token comes first","Attention folds the earlier tokens into the later ones, so the last token’s vector carries the whole question","Attention folds the earlier tokens into the later ones, so the last token’s vector carries the whole question","The next word goes right after the last token, and by the final layer that vector carries everything before it. Training tuned the layers to turn what the text means into where the next word lives."
"fb25","Understand AI","inference","Between your messages, what does the model remember about your chat?","The last few messages, until the chat gets long","A running summary it writes for itself","Everything, which is why answers improve over a long chat","Nothing. Every word sits on one transcript it re-reads before each word it types","Nothing. Every word sits on one transcript it re-reads before each word it types","AI has no memory, not even of the reply it’s in the middle of writing. The transcript is the memory, and re-reading it before every word is why long chats get slow."
"fb26","Avoid Traps","openerprotect","Why does this section open with a rip current?","AI failures are rare, the way rip currents are rare","A rip current looks like the calmest spot on the beach, and every AI trap looks fine from the inside","A rip current is the ocean malfunctioning, and a trap is AI malfunctioning","You beat a rip current by swimming harder, the way you beat AI by pushing harder","A rip current looks like the calmest spot on the beach, and every AI trap looks fine from the inside","Lifeguards spot them all day because they know the shape one makes in the water. When AI fails, nothing looks broken, so the skill is recognizing the shape before you’re in it."
"fb27","Avoid Traps","hallucination","Google’s AI told searchers to mix non-toxic glue into pizza sauce. Why does the lesson call that a hallucination?","The model invented the advice out of nothing","The search tool happened to be switched off","A false claim arrived in the same confident voice the model uses for real facts","The model was asked about something it was never trained on","A false claim arrived in the same confident voice the model uses for real facts","Training taught patterns, not facts, and every token gets picked by probability, so probable doesn’t always mean true. That advice traced back to an old Reddit joke, and it happened with search turned on."
"fb28","Avoid Traps","trainingbias","Every fact in an AI answer checks out and the picture is still distorted. What’s the tell?","The answer runs longer than you asked for","The answer cites no sources","The answer contradicts itself somewhere","Sameness. When every example looks alike, you’re seeing the model’s default, not the world","Sameness. When every example looks alike, you’re seeing the model’s default, not the world","You can’t fact-check your way out of Training Bias. Ask what’s missing, ask for examples that don’t fit the pattern, or ask again leaving out the most famous ones."
"fb29","Avoid Traps","documenttrap","You upload a 200-page rulebook and ask how many fouls put you out of the game. Why can the answer be incomplete?","The model read the whole book and summarized too hard","The file was too large to finish uploading","Only the chunks closest in meaning to your question get loaded, and the exception near the back doesn’t make the cut","The model made up a number because it had nothing to work from","Only the chunks closest in meaning to your question get loaded, and the exception near the back doesn’t make the cut","Document Trap is thinking uploaded means fully read. The tournament section is about tournaments first and fouls second, so retrieval passed it over. Ask it to quote the exact section it’s using."
"fb30","Avoid Traps","mindtrap","In the 1960s, a simple chatbot called ELIZA did nothing but rearrange people’s words back into questions. What happened?","Users spotted the trick fast and stopped talking to it","Users reported feeling that it understood them, and researchers named the pattern the ELIZA effect","It turned out to understand more than its designers had intended","It only fooled people who had never used a computer before","Users reported feeling that it understood them, and researchers named the pattern the ELIZA effect","The feeling that somebody is in there is not new, and it has never depended on the machine being good. That’s why the rule holds: AI doesn’t think, doesn’t know you, and can’t care how your life turns out."
"fb31","Avoid Traps","flattery","Where did AI’s habit of praising your work come from?","Human reviewers ranking answers often put the supportive one on top, and every ranking nudged the model that way","The companies added it deliberately to keep you in the app","It picked it up from customer service transcripts in its training data","It’s a bug in one company’s model that has since been fixed","Human reviewers ranking answers often put the supportive one on top, and every ranking nudged the model that way","That’s the last phase of training, RLHF. The model isn’t lying to you, it learned what people give a thumbs-up, and every LLM trained on human approval does it."
"fb32","Avoid Traps","engagementtrap","Aza Raskin removed the “next page” click in 2006. What did he take away along with the friction?","A loading delay that gave the servers a break","The ad break that paid for the page","A decision point, the moment your brain catches up and asks whether you want more","The bookmark that let you find your place again","A decision point, the moment your brain catches up and asks whether you want more","Good design removes friction, and that page break was quietly doing a second job. By his own estimate, infinite scroll now wastes half a million human lifetimes a month."
"fb33","Avoid Traps","supporttrap","The chatbot Sophie Rottenberg confided in responded warmly and sometimes encouraged her to get help. Why wasn’t that enough?","It could not contact her family, alert her therapist, or bring in someone who could act","It gave her the wrong advice about where to find help","It should have refused to discuss any of it with her","She stopped talking to it before it could finish helping","It could not contact her family, alert her therapist, or bring in someone who could act","The response could provide caring words, but the danger remained inside the chat. AI could not show up, contact the people around her, or take responsibility for what happened next. In danger, leave the chat and bring in someone who can act."
"fb34","Avoid Traps","faketrap","A clip of a public figure hits your feed and looks completely real. What’s the test?","Run it through an AI detector and go with the verdict","Zoom in on the hands and the edges of the face","Assume it’s fake, since anything can be faked now","Skip the face and the voice. Ask where it came from, and check somewhere the sender doesn’t control","Skip the face and the voice. Ask where it came from, and check somewhere the sender doesn’t control","The test moves off the image and onto the source: source, context, corroboration. A detector is one more AI making one more prediction, so treat its verdict as a clue, never a ruling."
"fb35","Embrace the Future","openerrealworld","The section says exactly one thing about AI is certain. What is it?","AI is here to stay. Not that it improves forever, just that it isn’t going away","AI will keep getting better every year","AI will take most jobs within a decade","The optimists will land closer than the worriers","AI is here to stay. Not that it improves forever, just that it isn’t going away","Optimists, worriers, and doubters all fill in the blank parts of the map with their own picture. Nobody knows, including the people building it."
"fb36","Embrace the Future","whatpeoplesay","Machines improve fast. What decides whether a technology actually becomes the future?","How much money gets invested in it","Whether governments regulate it early","Whether the experts agree on where it lands","Whether people change their habits around it, and habits change at human speed","Whether people change their habits around it, and habits change at human speed","That’s why so many confident predictions miss, in both directions. Three people at the very top of AI look at the same evidence and make very different bets."
"fb37","Embrace the Future","paceofchange","Four future ideas drive the AI companies forward. Which one is happening now?","Recursive self-improvement, an AI that improves itself while the world uses it","Automated AI research, with AI doing the research and humans reviewing it","Artificial general intelligence","Artificial superintelligence","Automated AI research, with AI doing the research and humans reviewing it","Early versions of automated AI research are already in use. Today’s models are frozen after training, so nobody has built a self-improving one, and AGI and ASI are still hypothetical."
"fb38","Embrace the Future","bigdownside","Why is jailbreaking so hard for the AI companies to shut down?","Defenders must protect many paths. An attacker needs to find only one opening","The companies have no way to test their models before shipping","The models are open source, so anyone can edit the guardrails","Guardrails are illegal in some countries","Defenders must protect many paths. An attacker needs to find only one opening","AI companies protect models with multiple safeguards, but attackers keep searching for an opening. In 2025, researchers bypassed the safeguards of every major model they tested, which is why jailbreaking remains a game of cat and mouse."
"fb39","Embrace the Future","bigupside","Fifty years of lab work solved about 200,000 protein shapes. What did DeepMind do?","Solved a few hundred thousand more and licensed them to drug companies","Built a faster lab that solves one shape a day","Proved that protein folding can’t be predicted after all","Released about 200 million shapes, free to everyone","Released about 200 million shapes, free to everyone","Roughly a thousand times more shapes, in one release, and then they gave the answers away. Demis Hassabis won the 2024 Nobel Prize in Chemistry for it."
"fb40","Embrace the Future","agents","What makes an agent different from the ChatGPT or Claude you already use?","It runs on a bigger, more advanced model","It’s the same engine, wrapped in a loop that plans, acts, and checks until the goal is met","It has memory, so it remembers you between chats","It runs without guardrails","It’s the same engine, wrapped in a loop that plans, acts, and checks until the goal is met","An agent isn’t a new kind of AI. ChatGPT answers and stops, an agent does the work, and the finished product still has your name on it."
"fb41","Embrace the Future","workchanges","AI reads the 500 reviews, finds the themes, and builds the deck. What’s the catch the lesson names?","AI can make you productive before it makes you knowledgeable","Your job title changes","The deck comes out worse than one you’d build yourself","You’ll be paid less for the same job","AI can make you productive before it makes you knowledgeable","Much of the work AI now does used to be how new graduates learned the profession. You may be asked to check sophisticated work before you’ve had the chance to learn it, and you still own the outcome."
"fb42","Embrace the Future","computecost","A big AI data center covers the ground of several football fields. How many permanent workers does it run with?","100 to 200, about the staff of a big supermarket","Around 2,000, about the size of a large high school","Roughly 10,000, the way a car factory does","None. They run fully automated, with nobody on site","100 to 200, about the staff of a big supermarket","For all that size, the payroll is small, which is why a town that lands one often doesn’t get the jobs it expected. The real costs land elsewhere: about 6 percent of all U.S. electricity, a million gallons of water on a hot day, and fans that never turn off."
"fb43","Embrace the Future","unexpected","Hanoi paid a bounty for rat tails in 1902 and ended up with more rats. What went wrong?","Nobody turned in any tails, so the program never got started","The city ran out of money before it ran out of rats","Every part of the plan worked. Hunters clipped the tails and let the rats live, because a live rat pays forever","A worse pest moved in once the rats were gone","Every part of the plan worked. Hunters clipped the tails and let the rats live, because a live rat pays forever","The plan worked and the goal failed. Some hunters went further and opened rat farms, which is the same math as widening a highway and getting slower commutes."
"fb44","Build Your Skills","choosemodel","The answer still feels shallow. Do you switch to a bigger model or turn up the thinking?","Always switch models. Thinking only changes how the answer sounds","Pick the model that fits the job first, then turn up the thinking before you switch","Always turn the thinking up. Model size barely matters","Neither. Rewrite the prompt until the model changes its approach","Pick the model that fits the job first, then turn up the thinking before you switch","A bigger model is more brain. More thinking is more time from the brain you already picked. And thinking longer won’t fix missing or stale information."
"fb45","Build Your Skills","aitips","Five moves in this lesson: interview me, what I tried, options not an answer, say what wrong looks like, and start a new chat. What do all five have in common?","Not one of them hands the work over. The AI does more, and so do you","They all make your prompt longer and more detailed","They all work only on the bigger, more expensive models","They all save you from having to explain your own situation","Not one of them hands the work over. The AI does more, and so do you","They pull your situation out of your head, rule out the dead ends you already found, widen the options before you pick, and aim the next try. None of them is a magic word."
"fb46","Build Your Skills","integrity","How do you know whether a piece of work is really yours?","An AI detector scores it as human","You changed enough words that it no longer matches the original","You wrote the first draft, even if AI wrote the rest","You can explain it, defend it, and reproduce the thinking","You can explain it, defend it, and reproduce the thinking","Could you walk through it cold, with no notes? And if you’d be embarrassed to say out loud how you used AI, that’s your answer."
"fb47","Build Your Skills","peopleskills","Three skills stack in this lesson, in order: say it so it lands, be the one people want on the team, then get a group to actually move. What does that order track?","How human each one is, which is exactly how hard each one is to hand off","How long each one takes to get good at","How often you’ll need each one in a normal week","How much each one depends on knowing the subject","How human each one is, which is exactly how hard each one is to hand off","Run the three back down the ladder and watch where AI stops. It can draft your script and it can’t stand up in front of the class. It can produce a flawless plan for Saturday and it cannot make five people show up."
"fb48","Build Your Skills","creativethinking","Average ideas come first. Where do the interesting ones show up?","In the first one, as long as you framed the question well","Fourth or fifth, once you push past the first decent idea","Only from people who are naturally artistic","From AI, once you ask it for ten variations","Fourth or fifth, once you push past the first decent idea","That’s one of five moves you can practice, alongside seeing the obvious, questioning the assumption, connecting the unconnected, and picking an angle to own. Creativity is a habit of thinking, not a personality trait."
"fb52","Build Your Skills","skillsthatmatter","AI can produce a first draft of almost anything in seconds. What does that do to where the value sits in the work?","It kills the value, because anything you make, AI could have made faster","It leaves it where it was, since someone still has to send the thing","It moves it. Producing the first version got cheap, so the worth sits in aiming the work and picking which version is right","It moves it to whoever writes the longest, most detailed prompts","It moves it. Producing the first version got cheap, so the worth sits in aiming the work and picking which version is right","Producing the first version used to be most of the job. Now it’s the cheapest part, and the bottleneck moves from production to direction: cutting a messy situation into pieces small enough to hand over, then making the call about which option fits your people."
"fb51","Build Your Skills","becurious","In most fields, adults have decades of experience on you. Why isn’t that true in AI?","AI is simple enough that experience barely matters","You use these tools every day and most adults don’t","Nobody has a ten-year head start, because the tools aren’t ten years old. The only seniority is reps","Young people are naturally better at new technology","Nobody has a ten-year head start, because the tools aren’t ten years old. The only seniority is reps","ChatGPT launched in late 2022, so almost everyone started at the same moment. Reps are free: hours on real things, noticing what worked and what didn’t. And prompt tricks expire every time the models update. Instincts don’t."
"fb50","Build Your Skills","makeyourmove","Why is “I can do the average version too” the wrong answer to why someone should pick you over AI?","Because AI’s average version is better than yours","Because AI produces the average version for free, so that’s the reason to pick AI instead","Because nobody asks that question in a real interview","Because you should never compare yourself to a tool","Because AI produces the average version for free, so that’s the reason to pick AI instead","AI raised the floor and the ceiling, and that squeezes the middle. The move is to narrow: pick the thing you’d build anyway, get good at it, and keep the proof."
