aihistory	—	how-an-llm-works-6-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
prompt	Jeep Cherokee||Ford Raptor	context-window-1-luke-nate	Same prompt. Different answers. On purpose.
prompt	Outside the window = invisible to the model||If it isn’t in the window, the model can’t see it.	context-window-2-outside
prompt	Stays in this chat||Follows you everywhere	context-window-3-five-sources	What follows you where
prompt	—	context-window-4-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
questionsvaluable	How answers got easier and faster||Half a Saturday	questions-matter-1-answers-cheap
questionsvaluable	Pre-AI||Finding the answer||With AI||Asking the right question	questions-matter-2-value	It changes where value lives.
questionsvaluable	Homework doesn’t help students learn||Should I join the debate team?||On Target	questions-matter-3-qualities	page-board
questionsvaluable	—	questions-matter-4-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
control	Out of your hands||In your hands	what-you-can-control-1-hands
control	Depth beats dabbling||Close the tab and go learn	what-you-can-control-2-moves	Three moves worth your energy
control	—	what-you-can-control-3-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
inference	Five draws, same tickets every time	one-more-thing-1-draws
inference	TWO SIDES OF THE SAME CHAT	one-more-thing-2-two-sides
inference	The Bill||One sentence	one-more-thing-3-bill
inference	—	one-more-thing-4-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
openerfoundations	WHAT KIND OF THING IS AI?||It’s not magic.||it’s its own kind of thing.	opener-understand-1-kind	page-board
openerfoundations	—	opener-understand-3-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
openerworkwith	WHAT MAKES AI USE GOOD?||Don’t just ask.||It multiplies it.	opener-work-1-refrain	page-board
openerworkwith	USE IT WELL||THINK BEFORE YOU TRUST	opener-work-2-section
openerworkwith	—	opener-work-3-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
hallucination	Why it helps||Why it isn’t enough||rarer isn’t zero	hallucination-3-rag	Retrieval-Augmented Generation
trainingbias	What happens||Why it isn’t a hallucination||The fix	training-bias-2-stale	Stale information
aivscode	Clean, structured input||Rock-solid consistency||a bug on one line	ai-is-different-1-normal	Normal Software · built from rules a person wrote
aivscode	Handles the unfamiliar.||Makes sense of mess.||Messy human input	ai-is-different-2-ai	AI Software · built from patterns in data
aivscode	Scams that scale||Deepfakes of real people||Confident but wrong	ai-is-different-3-kryptonite	You’ll see stories like this
aivscode	—	ai-is-different-4-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
whydeeper	AI is already in the apps you use every day||Recommends||Chatbots||Voice assistants	why-learn-ai-1-everyday
whydeeper	This is YOUR time||You’ll move faster||Nothing to unlearn	why-learn-ai-2-thrive	Why you’ll thrive in the AI future.
whydeeper	An industrial revolution||Winning the Race	why-learn-ai-3-quote	The White House, July 2025
whydeeper	—	why-learn-ai-4-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
whatitdoesbest	Patterned transformation	where-ai-works-best-1-transform
whatitdoesbest	Generative variation	where-ai-works-best-2-variation
whatitdoesbest	Semantic compression and retrieval	where-ai-works-best-3-compression
whatitdoesbest	Structured reasoning and synthesis	where-ai-works-best-4-reasoning
whatitdoesbest	—	where-ai-works-best-5-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
prompting	—	art-of-prompting-5-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
training	—	training-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
hallucination	—	hallucination-4-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
studying	One notebook per subject||Trace it back to learn it||Reading the original material	learn-with-ai-3-habits
tokens	Instant Understanding||Just a Number	tokens-3-cat	How a human sees a cat vs. AI
tokens	unbelievable||basketball||ChatGPT	tokens-4-splits	How AI splits text into tokens
doesaithink	Inside the giant rulebook||Match the shape. Send back the likely reply.	does-ai-think-1-rulebook
doesaithink	A pattern machine||Understand what words really mean||Can’t tell when it’s making things up	does-ai-think-2-compare	When you think vs. what AI does
doesaithink	—	does-ai-think-3-close	close: generated by scripts/video/make_close_board.py from CLOSE_BOARDS, not captured
vectorspace	glide||flight	vector-space-1-airplane	Watch the word airplane in two sentences
flattery	How the praise got baked in||It learned what people give a thumbs-up.	flattery-trap-2-why
critical	Is it actually right?||What’s my call?||the consequences are yours	critical-thinking-4-five-questions
evaluating	How you evaluate the results||This might sound obvious||Leave the chat.	evaluate-the-results-1-steps	keep 0-4
evaluating	How you evaluate the results||This might sound obvious||Leave the chat.	evaluate-the-results-2-decide	keep 4-5
mindtrap	Should I go to the University of Michigan or Indiana University?||Your Mom||Searched eighteen years of knowing you	mind-trap-1-answers	page-board (wide stage + card: two-column grid needs ~700px inner)
engagementtrap	How tall is Mount Everest?||You end the conversation||The Engagement Trap	engagement-trap-1-choice	page-board (wide stage + card: two-column grid needs ~700px inner)
flattery	The American Dream is something that many people have thought about||The Flattery Trap||What you needed	flattery-trap-1-responses	page-board (wide stage + card: two-column grid needs ~700px inner)
tokens	no AI involved||the space before a word	tokens-2-tokenization	Tokenization defined: the program, the two names, the forms
supporttrap	Your older sister||AI	support-trap-1-lunch-comparison	I’ve been eating lunch alone for like two weeks.
supporttrap	The relief is real||The advice is real	support-trap-2-why-it-feels-real	WHY AI FEELS LIKE REAL SUPPORT (chip+ring composited in post — DOM chip shifts the centered titles)
supporttrap	—	support-trap-3-danger-warning	If someone may be in immediate danger, leave the chat and get real help. (element ring + mark states)
supporttrap	—	support-trap-4-close	close: captured closeBoard() state-0, standard push-in
