slug,runtime,cov20,mat15,teach15,board10,clean20,pace20,total,topband,gates,lever
opener-understand,3:04,18,13,13,9,16,18,87,YES,all pass,"REPAIR: kill two strobe bursts 1:53.6-2:00.4 and 2:28.5-2:34.7"
questions-matter,3:25,15,12,11,9,16,17,80,NO,all pass,"RE-ROLL: 'only answered the question it was given' + scientific-method anchor + 'better question doesnt make it true' + plain-speech directive"
where-ai-works-best,4:18,18,13,12,9,15,16,83,NO,all pass,"REPAIR: patch garbled code 0:44 (clean donor at 0:40) + 3:52 + 4:04; pull board-1 view back to ~1:48"
training,4:48,18,13,13,9,15,17,85,YES,all pass,"REPAIR: visual-replace 14s REVIEWER RANKINGS card 3:29-3:43 with preference-tuning board; fix mis-mapped coach diagram 1:04"
learn-with-ai,4:33,16,12,11,9,15,17,80,NO,all pass,"RE-ROLL: source-grounded column first (lesson order) + habits 4/5 given real treatment; REPAIR gibberish chat prop 2:04-2:11 + murky discs 2:36-2:43"
opener-work,2:55,17,12,12,10,17,16,84,NO,all pass,"RE-ROLL: four refrain lines required as spoken narration; cut the ~70s Industrial-Revolution/director digression (40% of runtime is not lesson material)"
context-window,3:28,17,14,12,8,16,16,83,NO,all pass,"RE-ROLL: Personalization needs its own beat w/ two-minutes payoff tied back to Luke/Nate; REPAIR flat hold 1:30-1:56 w/ card cut-ins + un-spoil the 10.5s opening reveal"
which-app,5:21,17,10,12,8,14,15,76,NO,"pass (RESTRAINT FLAG: invented Anthropic-branded lectern + CEO-cap persona 3:56-4:07)","RE-ROLL: name In-N-Out/McDonalds, restore Nate+Luke + NotebookLM-is-Gemini, cut ~70s invented guardrails template (5:21 -> ~4:00)"
tokens,3:34,16,11,12,8,15,17,79,NO,all pass,"REPAIR 1:34-1:42 chart: composed still w/ lesson's ~200,000/~256,000 (on-screen 152,806/240,000 are wrong + invented 'Gemini Exceeds' framing)"
transformer,3:32,15,12,10,8,14,17,76,NO,all pass,"RE-ROLL: breakthrough paragraph (8 Google researchers, 2017, paper named, 'T in ChatGPT' spoken) + hold-and-walk on Attention/Transformation"
embeddings,3:27,17,13,12,8,15,16,81,NO,all pass,"RE-ROLL or audio-graft: 3:05 MIS-TEACHES ('pieces combine into meaning of a full sentence' vs lesson's whole WORD); 2nd REPAIR re-insert uncropped 3-drink table 1:36-1:44"
layers,2:47,17,13,10,9,14,16,79,NO,all pass,"RE-ROLL: narration must SAY attention finds 'cat' / IT refers to the cat over the CAT-MAT-IT visual + keep plain register; REPAIR clone-freeze scrambled dissolve 0:12-0:16"
how-ai-answers,3:43,16,13,12,9,16,17,83,NO,all pass,"RE-ROLL: two missing whys (last token = next word goes in exactly one place; neighborhood IS top of ranked list) + 'That move is called prediction' required. CONFIRMS staged kit rationale."
hallucination,4:13,17,12,12,9,13,16,79,NO,all pass,"REPAIR 4 gibberish teaching visuals (1:12-1:21, 2:08-2:17, 2:20-2:27, 3:44-3:47). MIS-TEACH at 2:11-2:17: 'completely blind to sarcasm' contradicts lesson's 'spots a joke only when it looks like one' - single clause, re-roll class"
one-more-thing,4:40,16,13,12,10,17,17,85,NO,all pass,"RE-ROLL: pin closing 'way back in AI is Math... now youve counted it' callback + Hidden Cost handoff + enumerate the per-word re-run. Separate audio repair: '2 quadrogan' mispronunciation at 3:58 on the headline number"
document-trap,4:35,17,13,11,9,15,17,82,NO,all pass,"REPAIR: masked-restore garbled rulebook props 0:28-0:36 (keep '5 Fouls'/'Tournament Exceptions'/circled 6). Teaching gaps (unspoken shared idea behind 4 moves, unspoken Embeddings link) would need re-roll on an already-strong spine - worse trade"
flattery-trap,4:15,15,12,11,9,16,16,79,NO,all pass,"RE-ROLL: five moves must teach - each Weak->Better pair spoken (all 10 pairs currently unspoken = lesson's only actionable content) + move 4 blind-spot payoff + restore labs-test-for-sycophancy beat"
vector-space,2:38,18,14,12,10,17,17,88,NO,all pass,"REPAIR: visual-replace 'Same Meaning' card 0:52-0:58 (contradicts lesson's 'more like Pepsi than Coffee'; narration is already correct) + label the 3 blank pills at 2:24"
engagement-trap,3:58,15,12,12,9,18,16,82,NO,all pass,"RE-ROLL: require Raskin's 'half a million human lifetimes a month' + verbatim 'stopping point comes earlier than the people who built it want' + BAN the invented 'multi-hour tangent is fine if youre learning' caveat (softens the lesson)"
training-bias,3:47,17,13,12,10,14,17,83,NO,all pass,"REPAIR: patch 2 gibberish spans (0:17-0:23 laptop, 1:34-1:43 fake whiteboard - fix the latter by bringing the REAL mechanisms board in ~9s earlier)"
fake-trap,4:15,15,12,12,8,15,16,78,NO,all pass,"REPAIR: re-walk three-checks board from kit jpg at correct framing over 2:48-3:21 ('nowhere on Google News is an answer' is OFF-FRAME when spoken at 3:14). Second jaw of the trap (dismissing truth as fake) missing = re-roll class"
support-trap,4:21,16,12,11,10,17,17,83,NO,all pass,"RE-ROLL: closing charge verbatim ('the only one who knew was a chatbot. Be the one who knows instead.') + BAN deck-referential phrasing ('this image','the second panel','this warning box') + restore not-a-diagnosis contrast"
opener-avoid,2:58,16,10,11,10,16,16,79,NO,all pass,"RE-ROLL: AI tie-back after lifeguard beat ('a rip current isnt the ocean malfunctioning - every AI trap works the same way') + BAN the INVENTED verify/audit/question framework board (fabricated canon, 2:34-2:41; that board alone is repairable by visual-replace)"
mind-trap,3:47,17,13,12,9,15,15,81,NO,all pass,"REPAIR: composed still w/ the lesson's key lines over 3:26-3:35 (payoff currently on dots-on-black + empty boxes). Grader advises AGAINST re-roll - 17/20 spine + verbatim close + full ELIZA worth more"
