id,date,stars,reviewer,review
44,2026-05-15,5,Student,"Great course. Weird amount of hockey jerseys in the drawings but great course."
45,2026-05-16,2,Student,"My school wipes Chromebooks every night. Every. Night. I can never keep my progress. Accounts please."
46,2026-05-17,5,Student,"The boss assignment example in Work Changes is exactly what my sister does at her job. She confirmed."
47,2026-05-18,4,Student,"Loved it. A few videos felt twice as long as they needed to be."
48,2026-05-19,5,Parent,"My son said 'that's a hallucination, check the source' to the TV news. I have never been prouder."
49,2026-05-20,3,Student,"It's good but dense in spots. The Understand AI section needs a breather lesson in the middle."
50,2026-05-21,5,Student,"Finished it twice. Caught things the second time I completely missed the first time."
51,2026-05-22,4,Student,"Add more labs and this is a 5. The build-a-game one was the highlight of my month."
52,2026-05-23,5,Student,"The what-sets-you-apart idea changed how I think about school. It's what you already know. Stuck with me."
53,2026-05-24,2,Student,"Progress vanished when I switched browsers. Chrome to Safari. Gone. Why."
54,2026-05-25,5,Teacher,"Assigned one lesson a week all semester. The spacing works, students actually retained the concepts."
55,2026-05-26,4,Student,"Some hard words could use a hover definition. I shouldn't need a second tab open to a dictionary."
56,2026-05-27,5,Student,"The engagement trap lesson made me delete TikTok for a week. It came back but still. Powerful stuff."
57,2026-05-28,5,Student,"Every adult in my life should take this course. I'm making my uncle do it."
58,2026-05-29,3,Student,"Wanted more robot stuff honestly. It's all chatbots. Where are the robots."
59,2026-05-30,5,Student,"The close boards at the end of videos are so satisfying. Little pill of wisdom every time."
60,2026-05-31,4,Student,"Videos in the middle section are slow. First and last sections are perfectly paced."
61,2026-06-01,5,Parent,"As a parent who works in tech, this is accurate AND understandable. Rare combination."
62,2026-06-02,2,Student,"Library computer situation again. Did lessons 1-20, came back next day, welcome screen. I almost cried."
63,2026-06-03,5,Student,"I don't even like school stuff and I finished this voluntarily. Take that as the review."
64,2026-06-04,4,Student,"Great but needs more practice activities. I learn by doing and some lessons are watch-and-read only."
65,2026-06-05,5,Student,"The Does School Matter lesson actually answered the question instead of dodging it. Respect."
66,2026-06-06,5,Teacher,"The lesson videos work for my visual learners and the text works for my readers. Thoughtful design."
67,2026-06-07,3,Student,"Solid but the vocabulary difficulty is inconsistent. Easy lesson then suddenly transformer architecture."
68,2026-06-08,5,Student,"Used the prompting moves for my history project and my teacher asked what changed. THE COURSE CHANGED ME."
69,2026-06-09,4,Student,"Certificate at the end please! Even a printable one. I earned it."
70,2026-06-10,5,Student,"The trap lessons are elite. Every one of them has happened to someone I know."
71,2026-06-11,2,Student,"Switched schools mid-semester and my progress didn't come with me. New computer, blank course."
72,2026-06-12,5,Student,"Vector space game is lowkey addictive. I play it when I'm bored now."
73,2026-06-13,4,Student,"Would love audio versions of lessons for my bus ride. The videos help but I can't always watch."
74,2026-06-14,5,Parent,"My daughter is teaching ME prompting techniques. The student became the teacher became the student."
75,2026-06-15,3,Student,"Middle section videos are too long. I have the attention span I have. Meet me where I am."
76,2026-06-16,5,Student,"Honestly the best explanation of how AI works I've found anywhere and I looked everywhere."
77,2026-06-17,4,Student,"More games would make this perfect. The existing ones prove you know how to make them fun."
78,2026-06-18,5,Student,"The AI grading itself A+ in coding and C- in writing lessons is the funniest most honest thing."
79,2026-06-19,5,Teacher,"Students who finished early mentored students who hadn't. The course structure made that easy."
80,2026-06-20,2,Student,"Incognito mode user here. Apparently that means the course forgets me every single time. My fault but also add accounts."
81,2026-06-21,5,Student,"Learned more about AI in a month than two years of using it daily."
82,2026-06-22,4,Student,"Hard words tripped me up in a few lessons. Otherwise flawless."
83,2026-06-23,5,Student,"The one more thing lesson at the end is a perfect send-off. No spoilers but it lands."
84,2026-06-24,3,Student,"Good content but I want to DO more and read less in the back half."
85,2026-06-25,5,Student,"My group chat now says 'that's the flattery trap' unironically. Cultural impact."
86,2026-06-26,4,Student,"Phone layout could be better. Some comparison boxes need scrolling sideways which feels weird."
87,2026-06-27,5,Parent,"Watched the welcome video skeptical, finished the course impressed. Whoever wrote this respects teenagers."
88,2026-06-28,5,Student,"The Work Changes lesson made my future feel less scary and more like a plan."
89,2026-06-29,2,Student,"Family shares one computer with separate profiles and somehow my brother's progress overwrote mine. Chaos. Accounts would fix this."
90,2026-06-30,5,Student,"Every lesson answers a question I actually had. It's like they read my search history."
91,2026-07-01,4,Student,"Some lessons are wordy for no reason. Say it shorter, I'll still get it."
92,2026-07-02,5,Teacher,"The claim-checking habits stuck. A student brought receipts to a class debate and cited the course."
93,2026-07-03,5,Student,"Started for a school requirement, finished because it got genuinely interesting around lesson 8."
94,2026-07-05,3,Student,"Needs more labs. The reading is good reading but I signed up to DO things with AI."
95,2026-07-06,5,Student,"Recommended it to three friends. Two finished the whole thing. The third is on lesson 40 and mad he can't stop."
96,2026-07-07,4,Student,"Search feature would help. I wanted to reread the context window part and had to click around forever."
97,2026-07-08,5,Student,"Genuinely funny in places. I did not expect to laugh at an AI course."
98,2026-07-09,2,Student,"Restarted three times because of the progress thing. Library computer, then home, then my phone. Three fresh starts. Please just let me log in."
99,2026-07-10,5,Parent,"Both kids finished it. They now fact-check each other at dinner. The house has never been this rigorous."
100,2026-08-10,5,Student,"Finished today. Went back to lesson one just to see how much I'd learned. It's a lot. Thank you to whoever made this."
